Date        Rate
2025-07-01  4.25
2025-08-01  4.20
2025-09-01  4.15
2025-10-01  4.10
2025-11-01  4.00
2025-12-01  3.95
2026-01-01  3.90
2026-02-01  3.85
2026-03-01  3.80
2026-04-01  3.75
2026-05-01  3.70
2026-06-01  3.65
2026-07-01  3.60
2026-08-01  3.55
2026-09-01  3.50
2026-10-01  3.50
2026-11-01  3.55
2026-12-01  3.60
2027-01-01  3.65
2027-02-01  3.70
2027-03-01  3.75
2027-04-01  3.80
2027-05-01  3.85
2027-06-01  3.90
2027-07-01  3.95
2027-08-01  4.00
2027-09-01  4.05
2027-10-01  4.10
2027-11-01  4.15
2027-12-01  4.20
2028-01-01  4.25
2028-02-01  4.30
2028-03-01  4.35
2028-04-01  4.40
2028-05-01  4.45
2028-06-01  4.50
2028-07-01  4.55
2028-08-01  4.60
2028-09-01  4.65
2028-10-01  4.70
2028-11-01  4.75
2028-12-01  4.80
2029-01-01  4.85
2029-02-01  4.85
2029-03-01  4.85
2029-04-01  4.90
2029-05-01  4.95
2029-06-01  5.00
2030-01-01  5.05
2030-02-01  5.10
2030-03-01  5.10
2030-04-01  5.05
2030-05-01  5.00
2030-06-01  4.95
