Month,Date,Beginning Balance,Payment,Principal,Interest,PMI/MIP,Total Payment,Ending Balance
1,2024-01-31,204500.0,1670.94,733.65,937.29,0.0,1670.94,203766.35
2,2024-03-01,203766.35,1670.94,737.01,933.93,0.0,1670.94,203029.34
3,2024-03-31,203029.34,1670.94,740.39,930.55,0.0,1670.94,202288.95
4,2024-04-30,202288.95,1670.94,743.78,927.16,0.0,1670.94,201545.17
5,2024-05-30,201545.17,1670.94,747.19,923.75,0.0,1670.94,200797.98
6,2024-06-29,200797.98,1670.94,750.62,920.32,0.0,1670.94,200047.36
7,2024-07-29,200047.36,1670.94,754.06,916.88,0.0,1670.94,199293.3
8,2024-08-28,199293.3,1670.94,757.51,913.43,0.0,1670.94,198535.79
9,2024-09-27,198535.79,1670.94,760.98,909.96,0.0,1670.94,197774.81
10,2024-10-27,197774.81,1670.94,764.47,906.47,0.0,1670.94,197010.34
11,2024-11-26,197010.34,1670.94,767.98,902.96,0.0,1670.94,196242.36
12,2024-12-26,196242.36,1670.94,771.5,899.44,0.0,1670.94,195470.86
13,2025-01-25,195470.86,1670.94,775.03,895.91,0.0,1670.94,194695.83
14,2025-02-24,194695.83,1670.94,778.58,892.36,0.0,1670.94,193917.25
15,2025-03-26,193917.25,1670.94,782.15,888.79,0.0,1670.94,193135.1
16,2025-04-25,193135.1,1670.94,785.74,885.2,0.0,1670.94,192349.36
17,2025-05-25,192349.36,1670.94,789.34,881.6,0.0,1670.94,191560.02
18,2025-06-24,191560.02,1670.93,792.95,877.98,0.0,1670.93,190767.07
19,2025-07-24,190767.07,1670.94,796.59,874.35,0.0,1670.94,189970.48
20,2025-08-23,189970.48,1670.93,800.23,870.7,0.0,1670.93,189170.25
21,2025-09-22,189170.25,1670.94,803.91,867.03,0.0,1670.94,188366.34
22,2025-10-22,188366.34,1670.93,807.58,863.35,0.0,1670.93,187558.76
23,2025-11-21,187558.76,1670.94,811.3,859.64,0.0,1670.94,186747.46
24,2025-12-21,186747.46,1670.93,815.0,855.93,0.0,1670.93,185932.46
25,2026-01-20,185932.46,1670.94,818.75,852.19,0.0,1670.94,185113.71
26,2026-02-19,185113.71,1670.94,822.5,848.44,0.0,1670.94,184291.21
27,2026-03-21,184291.21,1670.93,826.26,844.67,0.0,1670.93,183464.95
28,2026-04-20,183464.95,1670.94,830.06,840.88,0.0,1670.94,182634.89
29,2026-05-20,182634.89,1670.93,833.85,837.08,0.0,1670.93,181801.04
30,2026-06-19,181801.04,1670.94,837.69,833.25,0.0,1670.94,180963.35
31,2026-07-19,180963.35,1670.93,841.51,829.42,0.0,1670.93,180121.84
32,2026-08-18,180121.84,1670.94,845.38,825.56,0.0,1670.94,179276.46
33,2026-09-17,179276.46,1670.94,849.26,821.68,0.0,1670.94,178427.2
